id,lat_wc,lon_wc,display_name_wc,zone_wc,lines_wc,rail_wc,name_wc,lon_tfl,lat_tfl,name_tfl,name,x_do,y_do,lat,lon,zone_do
31,51.6071,-0.1243,Bounds<br />Green,3.5,1,0,Bounds Green,-0.124218963208537,51.6070905569528,Bounds Green Station,Bounds Green,529996,191466,51.607031935983,-0.12416262739225,"3,4"
32,51.5273,-0.0208,Bow<br />Church,2,1,0,Bow Church,-0.020691424393872,51.5273331067082,Bow Church Station,Bow Church,537414,182824,51.527615205643,-0.020485486059214,2
33,51.5269,-0.0247,Bow<br />Road,2,2,0,Bow Road,-0.024823746874529,51.5268002548261,Bow Road Station,Bow Road,537148,182753,51.527041809222,-0.024345177705763,2
34,51.5766,-0.2136,Brent<br />Cross,3,1,0,Brent Cross,-0.213455833755365,51.5768004714439,Brent Cross Station,Brent Cross,523905,187927,51.576599240756,-0.21332141198154,3
35,51.4627,-0.1145,NULL,2,1,1,Brixton,-0.114635581578616,51.4625813336317,Brixton Station,Brixton,531076,175437,51.462736815606,-0.11453770490964,2
364,,,,,,,,,,,Brockley,536405,175801,51.464749666688,-0.03773385721419,2
36,51.5248,-0.0119,NULL,2.5,2,0,Bromley-By-Bow,-0.011661937058286,51.5247699375573,Bromley-By-Bow Station,Bromley-by-Bow,538034,182532,51.52484020109,-0.01166796209473,"2,3"
365,,,,,,,,,,,Brondesbury,524718,184460,51.545262386773,-0.20282406710345,2
308,,,,,,,,,,,Brondesbury Park,524202,183898,51.540325391085,-0.21045952961905,2
37,51.6266,0.0471,Buckhurst<br />Hill,5,1,0,Buckhurst Hill,0.046743856240496,51.6265173304094,Buckhurst Hill Station,Buckhurst Hill,541768,193957,51.626576654655,0.046726985755,5
38,51.6028,-0.2641,Burnt<br />Oak,4,1,0,Burnt Oak,-0.26419875814563,51.6026810997026,Burnt Oak Station,Burnt Oak,520303,190728,51.602551943784,-0.26431627556888,4
309,,,,,,,,,,,Bushey,511860,195318,51.645544206307,-0.38470709118099,8
39,51.5481,-0.1188,Caledonian<br />Road,2,1,0,Caledonian Road,-0.118312333133272,51.5484213184038,Caledonian Road Station,Caledonian Road,530568,184899,51.547885455043,-0.11834644235876,2
310,,,,,,,,,,,Caledonian Road and Barnsbury,530800,184393,51.543284589046,-0.11519043865212,2
311,,,,,,,,,,,Camden Road,529140,184191,51.541851250779,-0.13918869492503,2
40,51.5392,-0.1426,Camden<br />Town,2,1,0,Camden Town,-0.142726148730286,51.5394035226311,Camden Town Station,Camden Town,528920,183976,51.539969369251,-0.14243796405007,2
41,51.4982,-0.0502,Canada<br />Water,2,2,0,Canada Water,-0.049705986794378,51.4978886819951,Canada Water Station,Canada Water,535399,179493,51.498168417556,-0.05079271714472,2
42,51.5051,-0.0209,Canary<br />Wharf,2,2,0,Canary Wharf,-0.019431816253263,51.5035504856476,Canary Wharf Station,Canary Wharf,537558,180153,51.503578406232,-0.019452434600173,2
43,51.5147,0.0082,Canning<br />Town,3,2,1,Canning Town,0.008171036532588,51.5138371292896,Canning Town Station,Canning Town,539454,181350,51.513870285695,0.008320041548082,3
44,51.5113,-0.0904,Cannon<br />Street,1,2,0,Cannon Street,-0.090694850680981,51.5114337223373,Cannon Street Station,Cannon Street,532623,180888,51.511362099463,-0.090236118885105,1
312,,,,,,,,,,,Canonbury,532355,184979,51.548188396024,-0.092559776199295,2
45,51.6078,-0.2947,Canons<br />Park,5,1,0,Canons Park,-0.294653740878427,51.6077595152153,Canons Park Station,Canons Park,518208,191246,51.607650605221,-0.29437715826231,5
313,,,,,,,,,,,Carpenders Park,511826,193386,51.628186764519,-0.38581487914664,7
46,51.6679,-0.561,Chalfont &<br />Latimer,9,1,1,Chalfont & Latimer,-0.560534956448776,51.6680254739261,Chalfont & Latimer Station,Chalfont and Latimer,499610,197550,51.667907547721,-0.56105332039672,8
47,51.5441,-0.1538,Chalk<br />Farm,2,1,0,Chalk Farm,-0.153728009451251,51.5440831024226,Chalk Farm Station,Chalk Farm,528126,184421,51.544149104848,-0.15371865256093,2
48,51.5185,-0.1111,Chancery<br />Lane,1,1,0,Chancery Lane,-0.111677427383971,51.5181232306144,Chancery Lane Station,Chancery Lane,531096,181642,51.518494029809,-0.11194761724718,1
49,51.508,-0.1247,Charing<br />Cross,1,2,1,Charing Cross,-0.124754686624366,51.5085932076032,Charing Cross Station,Charing Cross,530234,180492,51.508358644804,-0.12478853109718,1
50,51.7052,-0.611,NULL,10,1,0,Chesham,-0.61121924632491,51.7050304548296,Chesham Station,Chesham,496048,201650,51.705380095434,-0.61141518839627,9
51,51.6177,0.0755,NULL,5,1,0,Chigwell,0.074526611263723,51.6178719254051,Chigwell Station,Chigwell,543835,193045,51.617857862487,0.076193656688014,4
52,51.4946,-0.2678,Chiswick<br />Park,3,1,0,Chiswick Park,-0.267746873913726,51.4943005917451,Chiswick Park Station,Chiswick Park,520352,178692,51.494370746332,-0.26772251965492,3
53,51.6543,-0.5183,NULL,8,1,0,Chorleywood,-0.518365989763054,51.6542178607745,Chorleywood Station,Chorleywood,502596,196092,51.654265989674,-0.51831947385278,7
54,51.4618,-0.1384,Clapham<br />Common,2,1,0,Clapham Common,-0.138311459464252,51.4617279332839,Clapham Common Station,Clapham Common,529428,175291,51.4618036863,-0.13830051012379,2
314,,,,,,,,,,,Clapham High Street,529824,175709,51.465469529402,-0.13245010905033,2
315,,,,,,,,,,,Clapham Junction,527198,175520,51.464366804651,-0.17030060907001,2
55,51.4649,-0.1299,Clapham<br />North,2,1,0,Clapham North,-0.129531053727598,51.4648437320278,Clapham North Station,Clapham North,530003,175652,51.464916230409,-0.12989566953588,2
56,51.4527,-0.148,Clapham<br />South,2.5,1,0,Clapham South,-0.147982098639174,51.4525998347145,Clapham South Station,Clapham South,528782,174259,51.452676506748,-0.1479696801021,"2,3"
57,51.6517,-0.1496,NULL,5,1,0,Cockfosters,-0.149614715155878,51.651687534575,Cockfosters Station,Cockfosters,528087,196424,51.652024496788,-0.14990225857042,5
58,51.5955,-0.2502,NULL,4,1,0,Colindale,-0.250142587760252,51.5952865187992,Colindale Station,Colindale,521295,189937,51.595230546294,-0.25027310932225,4
59,51.418,-0.1778,Colliers<br />Wood,3,1,0,Colliers Wood,-0.177700936628786,51.4180718851226,Colliers Wood Station,Colliers Wood,526831,170436,51.418759208995,-0.17740072104762,3
60,51.5129,-0.1243,Covent<br />Garden,1,1,0,Covent Garden,-0.124159260603113,51.5129095861416,Covent Garden Station,Covent Garden,530242,180982,51.512760249622,-0.1244924862088,1
61,51.4957,-0.0144,Crossharbour &<br />London Arena,2,1,0,Crossharbour & London Arena,-0.014614325661386,51.4956983741163,Crossharbour & London Arena Station,Crossharbour and London Arena,537896,179301,51.495839980525,-0.014918409980624,2
358,,,,,,,,,,,Crouch Hill,530586,187508,51.571327111387,-0.11711885796196,3
62,51.647,-0.4412,NULL,7,1,0,Croxley,-0.441710992609102,51.6470463381164,Croxley Station,Croxley,507921,195395,51.647005333911,-0.44158934771671,7
359,,,,,,,,,,,Crystal Palace,534120,170557,51.418170359941,-0.072592854062748,"3,4"
63,51.5095,0.0276,Custom<br />House,3,1,0,Custom House,0.027684411363851,51.5095438169644,Custom House Station,Custom House,540679,180911,51.509622053058,0.025786917726712,3
64,51.4827,-0.0096,Cutty<br />Sark,2.5,1,0,Cutty Sark,-0.010858772708087,51.4816943718508,Cutty Sark Station,Cutty Sark for Maritime Greenwich,538240,177764,51.481944468688,-0.01056746798363,2
65,51.5085,0.064,NULL,3,1,0,Cyprus,0.063538519717123,51.5087919302748,Cyprus Station,Cyprus,543324,180863,51.508526572883,0.063855162939039,3
66,51.5443,0.1655,Dagenham<br />East,5,1,0,Dagenham East,0.165874869677023,51.5441167342236,Dagenham East Station,Dagenham East,550284,185033,51.544187318113,0.16584784999223,5
67,51.5417,0.1469,Dagenham<br />Heathway,5,1,0,Dagenham Heathway,0.147684194913218,51.5416274136162,Dagenham Heathway Station,Dagenham Heathway,549035,184665,51.541211772284,0.14769413756505,5
316,,,,,,,,,,,Dalston Junction,533580,184778,51.546093724339,-0.07497978585502,2
317,,,,,,,,,,,Dalston Kingsland,533487,185062,51.548667827094,-0.076212502172009,2
68,51.6455,0.0838,NULL,6,1,0,Debden,0.083837809879712,51.645434322049,Debden Station,Debden,544275,196133,51.645491990883,0.083815925291538,6
318,,,,,,,,,,,Denmark Hill,532697,176087,51.468200650033,-0.090973475173744,2
69,51.474,-0.0216,Deptford<br />Bridge,2.5,1,0,Deptford Bridge,-0.021550621322945,51.4742847212735,Deptford Bridge Station,Deptford Bridge,537466,176912,51.474476774061,-0.022038032405853,"2,3"
