id,name,lat,lon
363,Abbey Road,51.531951985733,0.003737785606911
366,Acton Central,51.508757812012,-0.26341579231596
1,Acton Town,51.503071476856,-0.2802882961706
2,Aldgate,51.514342387502,-0.075612503707184
3,Aldgate East,51.515081631079,-0.072987053548915
4,All Saints,51.510476925464,-0.012610477634
5,Alperton,51.541209310632,-0.2995013414547
6,Amersham,51.674129392062,-0.60649933056891
367,Anerley,51.412516725364,-0.065122723194277
7,Angel,51.532968028132,-0.10556703413728
8,Archway,51.565490550156,-0.13510715160572
9,Arnos Grove,51.616230157665,-0.13425577761924
10,Arsenal,51.558541388156,-0.10548551071377
11,Baker Street,51.523129639184,-0.15688978273689
12,Balham,51.443182580239,-0.15267077683302
13,Bank-Monument,51.513347072699,-0.088985715325045
14,Barbican,51.520215295016,-0.097707167852645
15,Barking,51.539521102884,0.0808460268962
16,Barkingside,51.585850602534,0.088491071171579
17,Barons Court,51.490228707652,-0.21341574380466
18,Bayswater,51.512111310915,-0.18788716574986
19,Beckton,51.514376621471,0.061539705886513
20,Beckton Park,51.508900786453,0.054836346093653
21,Becontree,51.539585393148,0.12689470862039
22,Belsize Park,51.550190897304,-0.1639600723677
23,Bermondsey,51.497960787629,-0.064315686265478
24,Bethnal Green,51.527191747482,-0.055377698622437
25,Blackfriars,51.511586939902,-0.10298097717171
26,Blackhorse Road,51.585776631411,-0.039611280026926
27,Blackwall,51.507831540895,-0.007220758979515
28,Bond Street,51.513797542631,-0.14959920109132
29,Borough,51.501048880447,-0.094182918403389
30,Boston Manor,51.495765574642,-0.32473278589022
31,Bounds Green,51.607031935983,-0.12416262739225
32,Bow Church,51.527615205643,-0.020485486059214
33,Bow Road,51.527041809222,-0.024345177705763
34,Brent Cross,51.576599240756,-0.21332141198154
35,Brixton,51.462736815606,-0.11453770490964
364,Brockley,51.464749666688,-0.03773385721419
36,Bromley-by-Bow,51.52484020109,-0.01166796209473
365,Brondesbury,51.545262386773,-0.20282406710345
308,Brondesbury Park,51.540325391085,-0.21045952961905
37,Buckhurst Hill,51.626576654655,0.046726985755
38,Burnt Oak,51.602551943784,-0.26431627556888
309,Bushey,51.645544206307,-0.38470709118099
39,Caledonian Road,51.547885455043,-0.11834644235876
310,Caledonian Road and Barnsbury,51.543284589046,-0.11519043865212
311,Camden Road,51.541851250779,-0.13918869492503
40,Camden Town,51.539969369251,-0.14243796405007
41,Canada Water,51.498168417556,-0.05079271714472
42,Canary Wharf,51.503578406232,-0.019452434600173
43,Canning Town,51.513870285695,0.008320041548082
44,Cannon Street,51.511362099463,-0.090236118885105
312,Canonbury,51.548188396024,-0.092559776199295
45,Canons Park,51.607650605221,-0.29437715826231
313,Carpenders Park,51.628186764519,-0.38581487914664
46,Chalfont and Latimer,51.667907547721,-0.56105332039672
47,Chalk Farm,51.544149104848,-0.15371865256093
48,Chancery Lane,51.518494029809,-0.11194761724718
49,Charing Cross,51.508358644804,-0.12478853109718
50,Chesham,51.705380095434,-0.61141518839627
51,Chigwell,51.617857862487,0.076193656688014
52,Chiswick Park,51.494370746332,-0.26772251965492
53,Chorleywood,51.654265989674,-0.51831947385278
54,Clapham Common,51.4618036863,-0.13830051012379
314,Clapham High Street,51.465469529402,-0.13245010905033
315,Clapham Junction,51.464366804651,-0.17030060907001
55,Clapham North,51.464916230409,-0.12989566953588
56,Clapham South,51.452676506748,-0.1479696801021
57,Cockfosters,51.652024496788,-0.14990225857042
58,Colindale,51.595230546294,-0.25027310932225
59,Colliers Wood,51.418759208995,-0.17740072104762
60,Covent Garden,51.512760249622,-0.1244924862088
61,Crossharbour and London Arena,51.495839980525,-0.014918409980624
358,Crouch Hill,51.571327111387,-0.11711885796196
62,Croxley,51.647005333911,-0.44158934771671
359,Crystal Palace,51.418170359941,-0.072592854062748
63,Custom House,51.509622053058,0.025786917726712
64,Cutty Sark for Maritime Greenwich,51.481944468688,-0.01056746798363
65,Cyprus,51.508526572883,0.063855162939039
66,Dagenham East,51.544187318113,0.16584784999223
67,Dagenham Heathway,51.541211772284,0.14769413756505
316,Dalston Junction,51.546093724339,-0.07497978585502
317,Dalston Kingsland,51.548667827094,-0.076212502172009
68,Debden,51.645491990883,0.083815925291538
318,Denmark Hill,51.468200650033,-0.090973475173744
69,Deptford Bridge,51.474476774061,-0.022038032405853
70,Devons Road,51.522258469272,-0.017993342742124
71,Dollis Hill,51.551850619529,-0.23878334100376
72,Ealing Broadway,51.51486201146,-0.30199597251937
73,Ealing Common,51.510248690463,-0.28713701041592
74,Earls Court,51.491356695274,-0.19429940765557
76,East Acton,51.516263444214,-0.2480978154307
77,East Finchley,51.587332564437,-0.16472945405368
78,East Ham,51.539246158049,0.051530710126145
79,East India,51.508684006054,-0.00235592437985
80,East Putney,51.458879808899,-0.21098384278422
75,Eastcote,51.576551871493,-0.39680887105797
81,Edgware,51.614229655466,-0.27507922607818
82,Edgware Road (Bakerloo),51.520645381678,-0.17052514070378
83,Edgware Road (Circle/District/Hammersmith & City),51.51999806318,-0.1676538436008
84,Elephant and Castle,51.495849394281,-0.10072431173602
85,Elm Park,51.549124559422,0.19726710182967
86,Elverson Road,51.468372191483,-0.016801981736488
87,Embankment,51.507312509276,-0.12235292981979
88,Epping,51.69368615157,0.11384001852178
89,Euston,51.528664346375,-0.13328205840994
90,Euston Square,51.528664346375,-0.13328205840994
91,Fairlop,51.59610953153,0.090607714208087
92,Farringdon,51.520195700647,-0.10482865117184
93,Finchley Central,51.600903273752,-0.19320620063466
94,Finchley Road,51.547096220268,-0.18003614128656
